,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,0,4
1,Male,21,15,81,0,5
2,Female,20,16,6,0,4
3,Female,23,16,77,0,5
4,Female,31,17,40,0,4
5,Female,22,17,76,0,5
6,Female,35,18,6,0,4
7,Female,23,18,94,0,5
8,Male,64,19,3,0,4
9,Female,30,19,72,0,5
10,Male,67,19,14,0,4
11,Female,35,19,99,0,5
12,Female,58,20,15,0,4
13,Female,24,20,77,0,5
14,Male,37,20,13,0,4
15,Male,22,20,79,0,5
16,Female,35,21,35,0,4
17,Male,20,21,66,0,5
18,Male,52,23,29,0,4
19,Female,35,23,98,0,5
20,Male,35,24,35,0,4
21,Male,25,24,73,0,5
22,Female,46,25,5,0,4
23,Male,31,25,73,0,5
24,Female,54,28,14,0,4
25,Male,29,28,82,0,5
26,Female,45,28,32,0,4
27,Male,35,28,61,0,5
28,Female,40,29,31,0,4
29,Female,23,29,87,0,5
30,Male,60,30,4,0,4
31,Female,21,30,73,0,5
32,Male,53,33,4,0,4
33,Male,18,33,92,0,5
34,Female,49,33,14,0,4
35,Female,21,33,81,0,5
36,Female,42,34,17,0,4
37,Female,30,34,73,0,5
38,Female,36,37,26,0,4
39,Female,20,37,75,0,5
40,Female,65,38,35,0,0
41,Male,24,38,92,0,5
42,Male,48,39,36,0,0
43,Female,31,39,61,0,0
44,Female,49,39,28,0,4
45,Female,24,39,65,0,0
46,Female,50,40,55,0,0
47,Female,27,40,47,0,0
48,Female,29,40,42,0,0
49,Female,31,40,42,0,0
50,Female,49,42,52,0,0
51,Male,33,42,60,0,0
52,Female,31,43,54,0,0
53,Male,59,43,60,0,0
54,Female,50,43,45,0,0
55,Male,47,43,41,0,0
56,Female,51,44,50,0,0
57,Male,69,44,46,0,0
58,Female,27,46,51,0,0
59,Male,53,46,46,0,0
60,Male,70,46,56,0,0
61,Male,19,46,55,0,0
62,Female,67,47,52,0,0
63,Female,54,47,59,0,0
64,Male,63,48,51,0,0
65,Male,18,48,59,0,0
66,Female,43,48,50,0,0
67,Female,68,48,48,0,0
68,Male,19,48,59,0,0
69,Female,32,48,47,0,0
70,Male,70,49,55,0,0
71,Female,47,49,42,0,0
72,Female,60,50,49,0,0
73,Female,60,50,56,0,0
74,Male,59,54,47,2,0
75,Male,26,54,54,2,0
76,Female,45,54,53,2,0
77,Male,40,54,48,2,0
78,Female,23,54,52,2,0
79,Female,49,54,42,2,3
80,Male,57,54,51,2,0
81,Male,38,54,55,2,0
82,Male,67,54,41,2,3
83,Female,46,54,44,2,3
84,Female,21,54,57,2,0
85,Male,48,54,46,2,0
86,Female,55,57,58,2,0
87,Female,22,57,55,2,0
88,Female,34,58,60,2,0
89,Female,50,58,46,2,3
90,Female,68,59,55,2,3
91,Male,18,59,41,2,3
92,Male,48,60,49,2,3
93,Female,40,60,40,2,3
94,Female,32,60,42,2,3
95,Male,24,60,52,2,3
96,Female,47,60,47,2,3
97,Female,27,60,50,2,3
98,Male,48,61,42,2,3
99,Male,20,61,49,2,3
100,Female,23,62,41,2,3
101,Female,49,62,48,2,3
102,Male,67,62,59,2,3
103,Male,26,62,55,2,3
104,Male,49,62,56,2,3
105,Female,21,62,42,2,3
106,Female,66,63,50,2,3
107,Male,54,63,46,2,3
108,Male,68,63,43,2,3
109,Male,66,63,48,2,3
110,Male,65,63,52,2,3
111,Female,19,63,54,2,3
112,Female,38,64,42,2,3
113,Male,19,64,46,2,3
114,Female,18,65,48,2,3
115,Female,19,65,50,2,3
116,Female,63,65,43,2,3
117,Female,49,65,59,2,3
118,Female,51,67,43,2,3
119,Female,50,67,57,2,3
120,Male,27,67,56,2,3
121,Female,38,67,40,2,3
122,Female,40,69,58,2,3
123,Male,39,69,91,2,6
124,Female,23,70,29,2,3
125,Female,31,70,77,2,6
126,Male,43,71,35,2,3
127,Male,40,71,95,2,6
128,Male,59,71,11,2,2
129,Male,38,71,75,2,6
130,Male,47,71,9,2,2
131,Male,39,71,75,2,6
132,Female,25,72,34,2,3
133,Female,31,72,71,2,6
134,Male,20,73,5,2,2
135,Female,29,73,88,2,6
136,Female,44,73,7,2,2
137,Male,32,73,73,2,6
138,Male,19,74,10,2,2
139,Female,35,74,72,2,6
140,Female,57,75,5,2,2
141,Male,32,75,93,2,6
142,Female,28,76,40,2,3
143,Female,32,76,87,2,6
144,Male,25,77,12,2,2
145,Male,28,77,97,2,6
146,Male,48,77,36,2,3
147,Female,32,77,74,2,6
148,Female,34,78,22,2,2
149,Male,34,78,90,2,6
150,Male,43,78,17,2,2
151,Male,39,78,88,2,6
152,Female,44,78,20,2,2
153,Female,38,78,76,2,6
154,Female,47,78,16,2,2
155,Female,27,78,89,2,6
156,Male,37,78,1,2,2
157,Female,30,78,78,2,6
158,Male,34,78,1,2,2
159,Female,30,78,73,2,6
160,Female,56,79,35,2,3
161,Female,29,79,83,2,6
162,Male,19,81,5,2,2
163,Female,31,81,93,2,6
164,Male,50,85,26,1,2
165,Female,36,85,75,1,6
166,Male,42,86,20,1,2
167,Female,33,86,95,1,6
168,Female,36,87,27,1,2
169,Male,32,87,63,1,6
170,Male,40,87,13,1,2
171,Male,28,87,75,1,6
172,Male,36,87,10,1,2
173,Male,36,87,92,1,6
174,Female,52,88,13,1,2
175,Female,30,88,86,1,6
176,Male,58,88,15,1,2
177,Male,27,88,69,1,6
178,Male,59,93,14,1,2
179,Male,35,93,90,1,1
180,Female,37,97,32,1,7
181,Female,32,97,86,1,1
182,Male,46,98,15,1,7
183,Female,29,98,88,1,1
184,Female,41,99,39,1,7
185,Male,30,99,97,1,1
186,Female,54,101,24,1,7
187,Male,28,101,68,1,1
188,Female,41,103,17,1,7
189,Female,36,103,85,1,1
190,Female,34,103,23,1,7
191,Female,32,103,69,1,1
192,Male,33,113,8,1,7
193,Female,38,113,91,1,1
194,Female,47,120,16,1,7
195,Female,35,120,79,1,1
196,Female,45,126,28,1,7
197,Male,32,126,74,1,1
198,Male,32,137,18,1,7
199,Male,30,137,83,1,1
